Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2954920829478501,0.798751117889538,-0.31895753019488954,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.21917540049447493,-0.8980291497443171,0.10384652198711188,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.1501279275094659,-2.1570402236111335,0.40992429832827054,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.1690312215893433,-1.1284739463293407,-0.04506804197860536,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.15101826309018365,-2.1878895751484406,0.4174660026157351,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38950731541094774,1.2298531435695093,-0.4607019684482816,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8561613568097959,0.7629357450106189,-0.33858338053411846,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3129218589757252,0.8096064540471386,-0.3586679690205506,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,0.033155400412497156,0.774787351053395,-0.41649251256956243,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.36822772260309344,1.5679867748388387,-0.07511074077160108,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.1700109127695175,-1.128396057689953,-0.045058871602735064,3,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.21997805874243556,-0.8980114461130572,0.10386135223089402,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.39018254909713335,1.2300592541543784,-0.4607198357522904,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.31166475200057864,0.8095121384185268,-0.35868062928985955,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3093319679999386,0.8093642524357723,-0.3587084282862901,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.35778768545067097,1.4706567043345444,-0.5436567304394831,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3910742071959752,1.2299834161706047,-0.46068820603213423,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.17022111558071604,-1.1283885222225836,-0.045055447863620326,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.3421429068680706,1.527112933092629,-0.21328834490089488,0,Let it Ride
